sample_name,kind,reference,compared_to,R_factor,Pearson,RMSE,MAE,n_pts
mp-861947__mp-861947-EXAFS-Ga-K,xmu,true,pred,1.4333931493735312,0.16757163086038576,0.02225159635021871,0.016477670394284348,200
mp-863664__mp-863664-EXAFS-Ge-K,chi,orig,pred,2898.610207069053,0.06525989380064516,49.19864527840291,42.65229625328191,200
mp-863664__mp-863664-EXAFS-Ge-K,chi,orig,true,4208.442343684505,0.06436118243216861,59.28146484787225,49.949714766421046,200
mp-863664__mp-863664-EXAFS-Ge-K,chi,true,pred,0.03268900478953855,0.9965885736045801,10.460084644824724,8.22900605619711,200
mp-863664__mp-863664-EXAFS-Ge-K,xmu,orig,pred,1.0431938992826824,-0.6554494193233955,0.9003610562959162,0.8809383882756842,200
mp-863664__mp-863664-EXAFS-Ge-K,xmu,orig,true,1.0005340201890176,0.05412124485492579,0.8783593839023116,0.872837620729081,200
mp-863664__mp-863664-EXAFS-Ge-K,xmu,true,pred,8.058554174250519,0.23763974277538027,0.08835687889387749,0.028986134247046987,200
mp-865935__mp-865935-EXAFS-Mg-K,chi,orig,pred,32235.510693989385,0.03415939386972089,47.93540857128291,42.898772687338244,200
mp-865935__mp-865935-EXAFS-Mg-K,chi,orig,true,41245.139813522714,0.03352221739116644,54.2220016601553,45.7625625789714,200
mp-865935__mp-865935-EXAFS-Mg-K,chi,true,pred,0.023993695767052306,0.9987841344936541,8.197601847388796,6.7373095030409536,200
mp-865935__mp-865935-EXAFS-Mg-K,xmu,orig,pred,0.9997499841945906,0.004309665330315984,0.4767163281967732,0.40999554757554824,200
mp-865935__mp-865935-EXAFS-Mg-K,xmu,orig,true,1.0421435123774354,-0.17550974980014308,0.5007390608567299,0.4194590481394733,200
mp-865935__mp-865935-EXAFS-Mg-K,xmu,true,pred,1.1690554726796456,0.1596260047337862,0.02624529841762671,0.018935934933568408,200
mp-867816__mp-867816-EXAFS-Ru-K,chi,orig,pred,294845.0445436776,0.11301060829688678,35.89943166583335,29.974747698981734,200
mp-867816__mp-867816-EXAFS-Ru-K,chi,orig,true,402351.206433835,0.11405599767946659,41.93660901912114,36.39910076256913,200
mp-867816__mp-867816-EXAFS-Ru-K,chi,true,pred,0.02995029885166732,0.9931647489549256,7.084560037793869,6.596221956933419,200
mp-867816__mp-867816-EXAFS-Ru-K,xmu,orig,pred,1.0018312459085674,0.19290859605933225,0.9234309026601085,0.9212196037848795,200
mp-867816__mp-867816-EXAFS-Ru-K,xmu,orig,true,1.001094019600703,0.02992698786557951,0.9233727526906537,0.9211617002162075,200
mp-867816__mp-867816-EXAFS-Ru-K,xmu,true,pred,1.0209633432198404,0.23735350118035542,0.03036250667818913,0.021892770260596047,200
