mp_id,split,lattice_matched,length_rmse,angle_mae,pred_valid,gt_valid,n_atoms,pred_len_max,pred_len_mean,gt_len_mean,is_ionic,quality_tier,element
1222391,test,False,3.8090097904205322,15.978779792785645,True,True,84,10.836901664733887,10.067462921142578,11.472312927246094,False,A,Fe
1222519,test,False,0.4636387228965759,20.889755249023438,True,True,80,13.171049118041992,10.725537300109863,10.664807319641113,False,C,Fe
1223010,test,False,2.242124557495117,5.6058831214904785,True,True,104,20.087080001831055,12.312594413757324,11.859837532043457,False,A,Fe
1223050,test,True,0.3517891466617584,0.8268941044807434,True,True,90,11.02946662902832,10.174083709716797,9.924389839172363,False,A,Fe
1223137,test,False,2.211308479309082,15.69239330291748,True,True,66,15.239923477172852,9.769326210021973,9.120478630065918,False,A,Fe
1223165,test,False,0.3558139204978943,5.1226372718811035,True,True,104,12.891704559326172,10.93812084197998,11.010921478271484,False,A,Fe
1223661,test,False,0.5473021864891052,8.468037605285645,True,True,88,11.401512145996094,10.39302921295166,9.875016212463379,False,A,Fe
1224758,test,False,2.273984670639038,17.539405822753906,True,True,68,13.971719741821289,9.796109199523926,9.799345970153809,False,A,Fe
1224884,test,False,3.1344263553619385,41.34003829956055,True,True,66,14.098511695861816,9.660967826843262,12.626376152038574,False,A,Fe
1224904,test,False,3.0681819915771484,0.5796279907226562,True,True,108,14.881197929382324,11.507400512695312,11.549168586730957,False,C,Fe
1225101,test,False,1.5508809089660645,10.537745475769043,True,True,80,16.623504638671875,11.294540405273438,10.249606132507324,False,A,Fe
1225106,test,False,3.210555076599121,13.06248950958252,True,True,76,17.05621910095215,10.789756774902344,11.07985782623291,False,C,Fe
1225123,test,False,2.064352035522461,18.55059051513672,True,True,72,11.412047386169434,10.043566703796387,9.99732494354248,False,C,Bi
1225195,test,False,1.216131567955017,6.283505916595459,True,True,72,14.146474838256836,9.965561866760254,9.907362937927246,False,C,Fe
1225209,test,False,5.591554641723633,6.3334479331970215,True,True,88,11.301004409790039,10.348112106323242,11.979290008544922,False,A,Fe
1225232,test,False,1.6063214540481567,4.7352776527404785,True,True,112,16.508363723754883,11.589298248291016,11.736103057861328,False,A,Fe
1225296,test,False,4955.13427734375,71.51331329345703,True,True,66,6792.81689453125,4749.3046875,10.3624849319458,False,A,Fe
1225454,test,False,4.724734783172607,39.3798942565918,True,True,64,18.425085067749023,11.731486320495605,14.28582763671875,False,C,Dy
1225630,test,False,2.674116373062134,0.1775868684053421,True,True,112,16.505889892578125,11.857765197753906,10.965614318847656,False,A,Er
1225773,test,False,1.9539400339126587,9.86169147491455,True,True,88,11.91320514678955,10.637829780578613,11.37203311920166,False,A,Cu
1225775,test,False,12.34494686126709,45.14934158325195,True,True,64,30.17475700378418,21.2469425201416,9.771644592285156,False,A,Fe
1227149,test,False,1.0942562818527222,13.526710510253906,True,True,112,14.967041015625,11.92007064819336,11.294868469238281,False,A,Ce
1227452,test,False,3.008561134338379,25.47475242614746,True,True,68,15.277234077453613,10.389004707336426,9.49164867401123,False,A,Fe
1227494,test,True,0.07846152037382126,0.3236083984375,True,True,90,11.36785888671875,10.386752128601074,10.318453788757324,False,C,Co
1227749,test,False,0.5360968112945557,13.288131713867188,True,True,88,12.181219100952148,10.483994483947754,10.293006896972656,False,C,Fe
1227836,test,False,8.235339164733887,72.61624908447266,True,True,64,12.619331359863281,9.068634033203125,16.616588592529297,False,A,Fe
1227854,test,False,1117.5185546875,79.86614227294922,True,True,60,1883.8609619140625,863.3673706054688,9.2236909866333,False,A,Fe
1227858,test,True,0.17761556804180145,0.4288889467716217,True,True,84,17.71443748474121,11.186798095703125,11.214934349060059,False,A,Fe
1228383,test,True,0.4036126434803009,0.4113515317440033,True,True,90,10.841543197631836,10.299931526184082,9.909789085388184,False,A,Fe
1228526,test,False,5.624950408935547,5.673075199127197,True,True,92,20.40363121032715,12.161896705627441,10.30667781829834,False,A,Fe
1228576,test,True,0.30864766240119934,0.2396494597196579,True,True,84,17.2033634185791,10.841537475585938,11.031641960144043,False,B,Cu
1228683,test,False,5.954826354980469,19.1523380279541,True,True,60,17.31647300720215,10.010740280151367,12.850310325622559,False,A,Fe
1229040,test,False,0.28183189034461975,18.751142501831055,True,True,84,17.193058013916016,10.746562004089355,10.840771675109863,False,C,Bi
1229152,test,False,3.9597480297088623,37.9604377746582,True,True,72,16.3709774017334,12.597577095031738,11.732041358947754,False,C,Eu
1232976,test,False,0.338983952999115,19.322904586791992,True,True,84,17.839641571044922,11.366549491882324,11.408126831054688,False,A,Fe
1233028,test,True,0.71586674451828,0.6284077763557434,True,True,112,16.912296295166016,11.183487892150879,11.041679382324219,False,C,Fe
1233141,test,False,4.559463977813721,27.838842391967773,True,True,84,15.957798957824707,10.635178565979004,13.569109916687012,False,A,Fe
1233214,test,False,3.428102731704712,16.86408042907715,True,True,84,17.541038513183594,10.993309020996094,13.189472198486328,False,C,Fe
1233333,test,False,8.15723705291748,5.8726372718811035,True,True,84,10.858417510986328,10.54419231414795,13.491439819335938,False,A,Fe
1233399,test,True,1.7707613706588745,1.1912561655044556,True,True,72,13.815897941589355,10.164114952087402,9.499197959899902,False,A,Fe
1233499,test,False,2.480476140975952,13.875895500183105,True,True,76,16.95680046081543,10.81554126739502,10.867640495300293,False,A,Fe
1233566,test,False,8.955058097839355,80.48355865478516,True,True,60,20.547313690185547,18.143041610717773,9.261682510375977,False,A,Fe
1233687,test,True,0.06877968460321426,0.4378458559513092,True,True,72,16.70005989074707,11.151822090148926,11.179454803466797,False,A,Fe
1233745,test,False,1.7334882020950317,9.773478507995605,True,True,108,17.112808227539062,12.315020561218262,11.544380187988281,False,A,Fe
1233846,test,False,3365.897216796875,72.51493072509766,True,True,86,5751.00390625,2396.771484375,10.337079048156738,True,A,Ca
1234078,test,False,2171.138916015625,68.45003509521484,True,True,82,2862.772705078125,2000.3099365234375,9.930489540100098,False,A,Fe
1234388,test,False,0.41687291860580444,12.927538871765137,True,True,88,10.653189659118652,10.076507568359375,10.334458351135254,False,A,Fe
1234411,test,True,0.16051247715950012,0.4673665463924408,True,True,90,10.711307525634766,10.092656135559082,9.947609901428223,False,C,Fe
1234543,test,False,1.5204460620880127,0.8469645380973816,True,True,84,13.263638496398926,10.204597473144531,10.295576095581055,False,A,Fe
1234937,test,False,8.407325744628906,26.017366409301758,True,True,72,28.479799270629883,13.590189933776855,9.95767593383789,False,C,Co
1235226,test,True,0.6231973767280579,0.9049593806266785,True,True,68,12.438486099243164,9.617928504943848,9.214293479919434,True,A,Li
1235609,test,True,0.05306326225399971,0.5725631713867188,True,True,86,11.33236026763916,10.337040901184082,10.33425235748291,False,C,Fe
1235662,test,False,2.7879738807678223,7.688274383544922,True,True,76,16.85293197631836,10.523940086364746,10.72689151763916,False,A,Fe
1235806,test,False,3.047308921813965,2.9249751567840576,True,True,108,15.80390739440918,11.730748176574707,11.51171588897705,False,A,Fe
1235835,test,False,1.6002938747406006,10.425732612609863,True,True,84,16.381412506103516,11.10457706451416,10.393561363220215,False,B,Fe
