mp_id,formula,folder_name,prim_n_atoms
mp_765464,Fe2H11SeO53_,mp_765464_Fe2H11SeO53__feff_Fe_site_01,124
mp_560126,Fe4P2O73_,mp_560126_Fe4P2O73__feff_Fe_site_01,124
mp_1205043,Rb7Fe7P8HO94_,mp_1205043_Rb7Fe7P8HO94__feff_Fe_site_01,124
mp_706459,Fe4C14O13_,mp_706459_Fe4C14O13__feff_Fe_site_01,124
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_10,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_07,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_02,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_03,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_12,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_13,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_01,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_11,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_05,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_04,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_06,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_08,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_09,123
mp_683831,Fe3MoC11SeS3O11_,mp_683831_Fe3MoC11SeS3O11__feff_Fe_site_01,120
mp_818725,FeB6CO4_,mp_818725_FeB6CO4__feff_Fe_site_01,120
mp_1173803,Na3CaFe4SiO38_,mp_1173803_Na3CaFe4SiO38__feff_Fe_site_01,120
mp_1225171,Mn2Al3FePO73_,mp_1225171_Mn2Al3FePO73__feff_Fe_site_01,120
mp_1196537,FeAs2H18C2I3_,mp_1196537_FeAs2H18C2I3__feff_Fe_site_01,120
mp_1173284,Sr2FeMoO6_,mp_1173284_Sr2FeMoO6__feff_Fe_site_01,120
mp_1223304,Mg2Al16Fe6Si20O73_,mp_1223304_Mg2Al16Fe6Si20O73__feff_Fe_site_01,117
mp_720729,K3Fe3P4H2O17_,mp_720729_K3Fe3P4H2O17__feff_Fe_site_01,116
mp_1208570,V2Fe4Mo3O20_,mp_1208570_V2Fe4Mo3O20__feff_Fe_site_01,116
mp_744690,NaLi3Ti2Fe2PO46_,mp_744690_NaLi3Ti2Fe2PO46__feff_Fe_site_01,114
mp_1265553,Al2FeO33_,mp_1265553_Al2FeO33__feff_Fe_site_01,112
mp_744713,NaFe3P2H4O72_,mp_744713_NaFe3P2H4O72__feff_Fe_site_01,112
mp_744767,MnFeH14O7F5_,mp_744767_MnFeH14O7F5__feff_Fe_site_01,112
mp_759315,LiFeSiO4_,mp_759315_LiFeSiO4__feff_Fe_site_01,112
mp_758892,LiFeSiO4_,mp_758892_LiFeSiO4__feff_Fe_site_01,112
mp_568158,Nd2Fe23B3,mp_568158_Nd2Fe23B3_feff_Fe_site_04,112
mp_568158,Nd2Fe23B3,mp_568158_Nd2Fe23B3_feff_Fe_site_02,112
mp_1204955,K3Fe6F19,mp_1204955_K3Fe6F19_feff_Fe_site_01,112
mp_1204707,Fe3P4H8NO12_,mp_1204707_Fe3P4H8NO12__feff_Fe_site_01,112
mp_568158,Nd2Fe23B3,mp_568158_Nd2Fe23B3_feff_Fe_site_01,112
mp_694615,LiFePO4_,mp_694615_LiFePO4__feff_Fe_site_01,112
mp_1204955,K3Fe6F19,mp_1204955_K3Fe6F19_feff_Fe_site_04,112
mp_568158,Nd2Fe23B3,mp_568158_Nd2Fe23B3_feff_Fe_site_03,112
mp_568158,Nd2Fe23B3,mp_568158_Nd2Fe23B3_feff_Fe_site_05,112
mp_558611,BaFeO22_,mp_558611_BaFeO22__feff_Fe_site_01,112
mp_757240,Li3FePO42_,mp_757240_Li3FePO42__feff_Fe_site_01,112
mp_757653,LiFePO4_,mp_757653_LiFePO4__feff_Fe_site_01,112
mp_757629,Li3FePO42_,mp_757629_Li3FePO42__feff_Fe_site_01,112
mp_757649,Li3FePO42_,mp_757649_Li3FePO42__feff_Fe_site_01,112
mp_555262,Ba9Fe4S15,mp_555262_Ba9Fe4S15_feff_Fe_site_02,112
mp_555262,Ba9Fe4S15,mp_555262_Ba9Fe4S15_feff_Fe_site_03,112
mp_555262,Ba9Fe4S15,mp_555262_Ba9Fe4S15_feff_Fe_site_04,112
mp_555262,Ba9Fe4S15,mp_555262_Ba9Fe4S15_feff_Fe_site_01,112
mp_705041,Fe2P3C8N3ClO24_,mp_705041_Fe2P3C8N3ClO24__feff_Fe_site_01,112
mp_759401,LiFeSiO4_,mp_759401_LiFeSiO4__feff_Fe_site_01,112
mp_555031,Fe3SiP5O19_,mp_555031_Fe3SiP5O19__feff_Fe_site_01,112
mp_706252,LiFe5O8_,mp_706252_LiFe5O8__feff_Fe_site_01,112
mp_1202981,FeC7O2F2_,mp_1202981_FeC7O2F2__feff_Fe_site_01,112
mp_1204955,K3Fe6F19,mp_1204955_K3Fe6F19_feff_Fe_site_03,112
mp_1204955,K3Fe6F19,mp_1204955_K3Fe6F19_feff_Fe_site_02,112
mp_1173842,NaCaMg3Fe6PO49_,mp_1173842_NaCaMg3Fe6PO49__feff_Fe_site_01,112
mp_585319,LiFePO4_,mp_585319_LiFePO4__feff_Fe_site_01,112
mp_651724,Fe2Te2Ru2CO11_,mp_651724_Fe2Te2Ru2CO11__feff_Fe_site_01,112
mp_1204478,FeH16C4N2Cl5_,mp_1204478_FeH16C4N2Cl5__feff_Fe_site_01,112
mp_624762,Fe4Te2CO11_,mp_624762_Fe4Te2CO11__feff_Fe_site_01,112
mp_1226029,Fe14Cu7PO418_,mp_1226029_Fe14Cu7PO418__feff_Fe_site_01,111
mp_849393,Li8Fe7PO48_,mp_849393_Li8Fe7PO48__feff_Fe_site_01,110
mp_557307,Nd5Ti4FeO17_,mp_557307_Nd5Ti4FeO17__feff_Fe_site_01,108
mp_653267,Fe6Sn2CO23_,mp_653267_Fe6Sn2CO23__feff_Fe_site_01,108
mp_1204738,FeAs2S4O2F34_,mp_1204738_FeAs2S4O2F34__feff_Fe_site_01,108
mp_555502,Pr5Ti4FeO17_,mp_555502_Pr5Ti4FeO17__feff_Fe_site_01,108
mp_683792,Fe2OsCO12_,mp_683792_Fe2OsCO12__feff_Fe_site_01,108
mp_776601,Li3FeB8O15_,mp_776601_Li3FeB8O15__feff_Fe_site_01,108
mp_1227858,Ca6Al2Fe4O15_,mp_1227858_Ca6Al2Fe4O15__feff_Fe_site_01,108
mp_653817,Fe6Ge2CO23_,mp_653817_Fe6Ge2CO23__feff_Fe_site_01,108
mp_1213654,Fe6P4H23O21_,mp_1213654_Fe6P4H23O21__feff_Fe_site_01,108
mp_1173652,NaMg2Fe3P4H9O132_,mp_1173652_NaMg2Fe3P4H9O132__feff_Fe_site_01,108
mp_1203197,FeH7C3NO6_,mp_1203197_FeH7C3NO6__feff_Fe_site_01,108
mp_744374,Fe6P4H17O27_,mp_744374_Fe6P4H17O27__feff_Fe_site_01,108
mp_1182787,Na3FeC6O17_,mp_1182787_Na3FeC6O17__feff_Fe_site_01,108
mp_705638,Fe21HO32_,mp_705638_Fe21HO32__feff_Fe_site_01,108
mp_1197490,KFe3HCO11_,mp_1197490_KFe3HCO11__feff_Fe_site_01,108
