folder_name,folder_path,mp_id,formula,site_nn,has_chi1,has_xmu,has_poscar,chi_diff_std,chi_zero_cross,chi1_valid,chi1_reason,xmu_valid,xmu_reason
mp_1022162_Mg6FeMo_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022162_Mg6FeMo_feff_Fe_site_01,mp_1022162,Mg6FeMo,01,True,True,True,0.09754795733689382,37,True,ok,True,ok
mp_1022181_Mg6FeB_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022181_Mg6FeB_feff_Fe_site_01,mp_1022181,Mg6FeB,01,True,True,True,0.07242280349645631,40,True,ok,True,ok
mp_1022184_Mg6FeBi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022184_Mg6FeBi_feff_Fe_site_01,mp_1022184,Mg6FeBi,01,True,True,True,0.0962149835176327,39,True,ok,True,ok
mp_1022195_Mg6FeW_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022195_Mg6FeW_feff_Fe_site_01,mp_1022195,Mg6FeW,01,True,True,True,0.10854576967464516,38,True,ok,True,ok
mp_1022199_Mg6GaFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022199_Mg6GaFe_feff_Fe_site_01,mp_1022199,Mg6GaFe,01,True,True,True,0.09394870718441356,44,True,ok,True,ok
mp_1022203_Mg6CdFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022203_Mg6CdFe_feff_Fe_site_01,mp_1022203,Mg6CdFe,01,True,True,True,0.09425435206097509,35,True,ok,True,ok
mp_1022205_Mg6CrFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022205_Mg6CrFe_feff_Fe_site_01,mp_1022205,Mg6CrFe,01,True,True,True,0.09170726081195278,36,True,ok,True,ok
mp_1022206_Mg6VFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022206_Mg6VFe_feff_Fe_site_01,mp_1022206,Mg6VFe,01,True,True,True,0.0897536795791339,36,True,ok,True,ok
mp_1022207_Mg6FeC__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022207_Mg6FeC__feff_Fe_site_01,mp_1022207,Mg6FeC_,01,True,True,True,0.06724777511874754,36,True,ok,True,ok
mp_1022208_Mg6CrFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022208_Mg6CrFe_feff_Fe_site_01,mp_1022208,Mg6CrFe,01,True,True,True,0.08854371742532788,44,True,ok,True,ok
mp_1022209_Mg6FeW_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022209_Mg6FeW_feff_Fe_site_01,mp_1022209,Mg6FeW,01,True,True,True,0.13189017896135807,43,True,ok,True,ok
mp_1022213_Mg6NbFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022213_Mg6NbFe_feff_Fe_site_01,mp_1022213,Mg6NbFe,01,True,True,True,0.09197813800921925,34,True,ok,True,ok
mp_1022216_Mg6GaFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022216_Mg6GaFe_feff_Fe_site_01,mp_1022216,Mg6GaFe,01,True,True,True,0.09613128239748182,38,True,ok,True,ok
mp_1022217_Mg6NbFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022217_Mg6NbFe_feff_Fe_site_01,mp_1022217,Mg6NbFe,01,True,True,True,0.10621836422265261,37,True,ok,True,ok
mp_1022230_Mg6FeSn_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022230_Mg6FeSn_feff_Fe_site_01,mp_1022230,Mg6FeSn,01,True,True,True,0.07860700870109791,34,True,ok,True,ok
mp_1022235_LaMg6Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022235_LaMg6Fe_feff_Fe_site_01,mp_1022235,LaMg6Fe,01,True,True,True,0.09113920970465844,36,True,ok,True,ok
