folder_name,folder_path,mp_id,formula,site_nn,has_chi1,has_xmu,has_poscar,chi_std,chi1_valid,chi1_reason,xmu_valid,xmu_reason
mp_1021509_CeFeAs34_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1021509_CeFeAs34_feff_Fe_site_01,mp_1021509,CeFeAs34,01,True,True,True,0.24352399525106788,True,ok,True,ok
mp_1021509_CeFeAs34_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1021509_CeFeAs34_feff_Fe_site_02,mp_1021509,CeFeAs34,02,True,True,True,0.24352431798886265,True,ok,True,ok
mp_1021950_BaNb2FeO34__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1021950_BaNb2FeO34__feff_Fe_site_01,mp_1021950,BaNb2FeO34_,01,True,True,True,0.22470025117314263,True,ok,True,ok
mp_1022117_Mg6FeBi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022117_Mg6FeBi_feff_Fe_site_01,mp_1022117,Mg6FeBi,01,True,True,True,0.08928539649127032,True,ok,True,ok
mp_1022127_HfMg6Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022127_HfMg6Fe_feff_Fe_site_01,mp_1022127,HfMg6Fe,01,True,True,True,0.11104497186255032,True,ok,True,ok
mp_1022130_Mg6FeSb_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022130_Mg6FeSb_feff_Fe_site_01,mp_1022130,Mg6FeSb,01,True,True,True,0.1249281325873789,True,ok,True,ok
mp_1022132_Mg6FeSb_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022132_Mg6FeSb_feff_Fe_site_01,mp_1022132,Mg6FeSb,01,True,True,True,0.12105999310950366,True,ok,True,ok
mp_1022136_HfMg6Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022136_HfMg6Fe_feff_Fe_site_01,mp_1022136,HfMg6Fe,01,True,True,True,0.10221982012717955,True,ok,True,ok
mp_1022157_RbMg6Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022157_RbMg6Fe_feff_Fe_site_01,mp_1022157,RbMg6Fe,01,True,True,True,0.07253110916654901,True,ok,True,ok
mp_1022159_Mg6CdFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022159_Mg6CdFe_feff_Fe_site_01,mp_1022159,Mg6CdFe,01,True,True,True,0.12091772100883001,True,ok,True,ok
mp_1022162_Mg6FeMo_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022162_Mg6FeMo_feff_Fe_site_01,mp_1022162,Mg6FeMo,01,True,True,True,0.09305478624371835,True,ok,True,ok
mp_1022181_Mg6FeB_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022181_Mg6FeB_feff_Fe_site_01,mp_1022181,Mg6FeB,01,True,True,True,0.09879326187802143,True,ok,True,ok
mp_1022184_Mg6FeBi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022184_Mg6FeBi_feff_Fe_site_01,mp_1022184,Mg6FeBi,01,True,True,True,0.10575541238072005,True,ok,True,ok
mp_1022195_Mg6FeW_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022195_Mg6FeW_feff_Fe_site_01,mp_1022195,Mg6FeW,01,True,True,True,0.11514860159361667,True,ok,True,ok
mp_1022199_Mg6GaFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022199_Mg6GaFe_feff_Fe_site_01,mp_1022199,Mg6GaFe,01,True,True,True,0.09789993661599057,True,ok,True,ok
mp_1022203_Mg6CdFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022203_Mg6CdFe_feff_Fe_site_01,mp_1022203,Mg6CdFe,01,True,True,True,0.10663873846491073,True,ok,True,ok
mp_1022205_Mg6CrFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022205_Mg6CrFe_feff_Fe_site_01,mp_1022205,Mg6CrFe,01,True,True,True,0.1324431269343239,True,ok,True,ok
mp_1022206_Mg6VFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022206_Mg6VFe_feff_Fe_site_01,mp_1022206,Mg6VFe,01,True,True,True,0.10576759098937039,True,ok,True,ok
mp_1022207_Mg6FeC__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022207_Mg6FeC__feff_Fe_site_01,mp_1022207,Mg6FeC_,01,True,True,True,0.0915054701130538,True,ok,True,ok
mp_1022208_Mg6CrFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022208_Mg6CrFe_feff_Fe_site_01,mp_1022208,Mg6CrFe,01,True,True,True,0.08370851888355463,True,ok,True,ok
mp_1022209_Mg6FeW_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022209_Mg6FeW_feff_Fe_site_01,mp_1022209,Mg6FeW,01,True,True,True,0.10779652020588053,True,ok,True,ok
mp_1022213_Mg6NbFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022213_Mg6NbFe_feff_Fe_site_01,mp_1022213,Mg6NbFe,01,True,True,True,0.11404786315997055,True,ok,True,ok
mp_1022216_Mg6GaFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022216_Mg6GaFe_feff_Fe_site_01,mp_1022216,Mg6GaFe,01,True,True,True,0.12957365768027967,True,ok,True,ok
mp_1022217_Mg6NbFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022217_Mg6NbFe_feff_Fe_site_01,mp_1022217,Mg6NbFe,01,True,True,True,0.09703808697692354,True,ok,True,ok
mp_1022230_Mg6FeSn_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1022230_Mg6FeSn_feff_Fe_site_01,mp_1022230,Mg6FeSn,01,True,True,True,0.11656476718940652,True,ok,True,ok
