mp_id,formula,folder_name,folder_path,site_nn,total_sites,valid_sites,prim_n_atoms,prim_reason
mp_761281,FeSbO4_,mp_761281_FeSbO4__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761281_FeSbO4__feff_Fe_site_01,1,1,1,12,ok
mp_761315,MnFeO4_,mp_761315_MnFeO4__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761315_MnFeO4__feff_Fe_site_01,1,1,1,12,ok
mp_761390,TaFeO4_,mp_761390_TaFeO4__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761390_TaFeO4__feff_Fe_site_01,1,1,1,12,ok
mp_761441,Li4Mn2Fe3Co3O16_,mp_761441_Li4Mn2Fe3Co3O16__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761441_Li4Mn2Fe3Co3O16__feff_Fe_site_01,1,1,1,28,ok
mp_761481,Li2FePO5_,mp_761481_Li2FePO5__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761481_Li2FePO5__feff_Fe_site_01,1,1,1,18,ok
mp_761486,LiFePO4_,mp_761486_LiFePO4__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761486_LiFePO4__feff_Fe_site_01,1,1,1,7,ok
mp_761526,FeCoO4_,mp_761526_FeCoO4__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761526_FeCoO4__feff_Fe_site_01,1,1,1,12,ok
mp_761530,FeCoO32_,mp_761530_FeCoO32__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761530_FeCoO32__feff_Fe_site_01,1,1,1,9,ok
mp_761563,Mn2FeO3_,mp_761563_Mn2FeO3__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761563_Mn2FeO3__feff_Fe_site_01,1,1,1,12,ok
mp_761579,FeCo3O8_,mp_761579_FeCo3O8__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761579_FeCo3O8__feff_Fe_site_01,1,1,1,24,ok
mp_761592,Li3Fe2CoO6_,mp_761592_Li3Fe2CoO6__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761592_Li3Fe2CoO6__feff_Fe_site_01,1,1,1,12,ok
mp_761602,Li3FeCoO32_,mp_761602_Li3FeCoO32__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761602_Li3FeCoO32__feff_Fe_site_01,1,1,1,12,ok
